Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
82608-90562,RB,Brian,Brian Robinson Jr.,Robinson Jr.,6.449999809265137,4,5900,MIN@WAS,WAS,MIN,,,,,,RB/FLEX
82608-64581,WR,Van,Van Jefferson,Jefferson,7.590475899832589,21,5800,LAR@TB,LAR,TB,Q,Knee,,,,WR/FLEX
82608-103564,WR,Garrett,Garrett Wilson,Wilson,8.962499618530273,8,5800,BUF@NYJ,NYJ,BUF,,,,,,WR/FLEX
82608-52897,RB,Darrel,Darrel Williams,Williams,3.8200000762939452,5,5800,SEA@ARI,ARI,SEA,IR,Hip,,,,RB/FLEX
82608-57299,TE,Gerald,Gerald Everett,Everett,8,7,5800,LAC@ATL,LAC,ATL,,,,,,TE/FLEX
82608-86229,WR,Jahan,Jahan Dotson,Dotson,11.550000190734863,4,5700,MIN@WAS,WAS,MIN,O,Hamstring,,,,WR/FLEX
82608-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,8.612500190734863,8,5700,MIA@CHI,MIA,CHI,,,,,,RB/FLEX
82608-70157,RB,Darrell,Darrell Henderson Jr.,Henderson Jr.,6.971428462437221,7,5700,LAR@TB,LAR,TB,,,,,,RB/FLEX
82608-25267,WR,Mack,Mack Hollins,Hollins,9.037142617361885,7,5700,LV@JAC,LV,JAC,,,,,,WR/FLEX
82608-53097,WR,Josh,Josh Reynolds,Reynolds,8.671428680419922,7,5700,GB@DET,DET,GB,D,Back,,,,WR/FLEX
82608-112745,WR,Drake,Drake London,London,7.949999809265137,8,5600,LAC@ATL,ATL,LAC,,,,,,WR/FLEX
82608-89220,WR,Tyquan,Tyquan Thornton,Thornton,6.300000190734863,4,5600,IND@NE,NE,IND,,,,,,WR/FLEX
82608-52613,WR,Curtis,Curtis Samuel,Samuel,10.074999809265137,8,5600,MIN@WAS,WAS,MIN,,,,,,WR/FLEX
82608-70027,RB,Zack,Zack Moss,Moss,2.660000038146973,5,5600,IND@NE,IND,NE,,,,,,RB/FLEX
82608-89230,RB,Cam,Cam Akers,Akers,4.3799999237060545,5,5500,LAR@TB,LAR,TB,,,,,,RB/FLEX
82608-62628,WR,DeAndre,DeAndre Carter,Carter,5.128571646554129,7,5500,LAC@ATL,LAC,ATL,Q,Illness,,,,WR/FLEX
82608-86312,WR,Alec,Alec Pierce,Pierce,7.899999891008649,7,5500,IND@NE,IND,NE,,,,,,WR/FLEX
82608-41305,WR,Zay,Zay Jones,Jones,8,7,5500,LV@JAC,JAC,LV,,,,,,WR/FLEX
82608-45439,WR,Corey,Corey Davis,Davis,8.085714067731585,7,5500,BUF@NYJ,NYJ,BUF,O,Knee - mcl,,,,WR/FLEX
82608-53639,WR,Isaiah,Isaiah McKenzie,McKenzie,8.466666539510092,6,5500,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
82608-91626,RB,James,James Cook,Cook,3.9285714285714284,7,5500,BUF@NYJ,BUF,NYJ,,,,,,RB/FLEX
82608-33260,WR,DeVante,DeVante Parker,Parker,6.514285496303013,7,5500,IND@NE,NE,IND,O,Knee,,,,WR/FLEX
82608-27441,RB,Damien,Damien Williams,Williams,0.20000000298023224,1,5500,LAC@ATL,ATL,LAC,IR,Ribs,,,,RB/FLEX
82608-169776,WR,Christian,Christian Watson,Watson,3.6599998474121094,5,5500,GB@DET,GB,DET,Q,Concussion,,,,WR/FLEX
82608-56265,TE,Mike,Mike Gesicki,Gesicki,7.25,8,5500,MIA@CHI,MIA,CHI,,,,,,TE/FLEX
82608-24641,WR,Sammy,Sammy Watkins,Watkins,4.875,4,5400,GB@DET,GB,DET,,,,,,WR/FLEX
82608-72776,RB,Alexander,Alexander Mattison,Mattison,5.928571428571429,7,5400,MIN@WAS,MIN,WAS,,,,,,RB/FLEX
82608-60712,TE,Foster,Foster Moreau,Moreau,5.199999809265137,4,5400,LV@JAC,LV,JAC,,,,,,TE/FLEX
82608-71105,WR,Ben,Ben Skowronek,Skowronek,6.114285605294364,7,5400,LAR@TB,LAR,TB,,,,,,WR/FLEX
82608-57986,WR,Hunter,Hunter Renfrow,Renfrow,4.720000076293945,5,5400,LV@JAC,LV,JAC,,,,,,WR/FLEX
82608-85672,WR,Terrace,Terrace Marshall Jr.,Marshall Jr.,4.949999809265137,4,5400,CAR@CIN,CAR,CIN,,,,,,WR/FLEX
82608-70422,WR,Kalif,Kalif Raymond,Raymond,4.657142639160156,7,5400,GB@DET,DET,GB,,,,,,WR/FLEX
82608-56262,WR,Parris,Parris Campbell,Campbell,7.25,8,5400,IND@NE,IND,NE,,,,,,WR/FLEX
82608-30678,WR,Damiere,Damiere Byrd,Byrd,7.050000190734863,4,5400,LAC@ATL,ATL,LAC,,,,,,WR/FLEX
82608-63855,WR,K.J.,K.J. Osborn,Osborn,5.842857360839844,7,5300,MIN@WAS,MIN,WAS,,,,,,WR/FLEX
82608-56698,WR,Dante,Dante Pettis,Pettis,5.057143075125558,7,5300,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
82608-32243,WR,Marquise,Marquise Goodwin,Goodwin,6.150000254313151,6,5300,SEA@ARI,SEA,ARI,O,Groin,,,,WR/FLEX
82608-64031,TE,Hayden,Hayden Hurst,Hurst,6.912499904632568,8,5300,CAR@CIN,CIN,CAR,,,,,,TE/FLEX
82608-22103,WR,Marvin,Marvin Jones Jr.,Jones Jr.,6.214285714285714,7,5300,LV@JAC,JAC,LV,,,,,,WR/FLEX
82608-137902,RB,Rachaad,Rachaad White,White,4.287499904632568,8,5300,LAR@TB,TB,LAR,,,,,,RB/FLEX
82608-91971,RB,Ronnie,Ronnie Rivers,Rivers,3.75,2,5300,LAR@TB,LAR,TB,,,,,,RB/FLEX
82608-14190,WR,Julio,Julio Jones,Jones,6.799999872843425,3,5300,LAR@TB,TB,LAR,,,,,,WR/FLEX
82608-60451,TE,Tyler,Tyler Conklin,Conklin,8.125,8,5200,BUF@NYJ,NYJ,BUF,,,,,,TE/FLEX
82608-64841,WR,Equanimeous,Equanimeous St. Brown,St. Brown,4.037499904632568,8,5200,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
82608-32234,RB,Malcolm,Malcolm Brown,Brown,2.1500000953674316,2,5200,LAR@TB,LAR,TB,,,,,,RB/FLEX
82608-86518,WR,Khalil,Khalil Shakir,Shakir,4.040000152587891,5,5200,BUF@NYJ,BUF,NYJ,,,,,,WR/FLEX
82608-52916,WR,Russell,Russell Gage,Gage,6.228571210588727,7,5200,LAR@TB,TB,LAR,O,Hamstring,,,,WR/FLEX
82608-72453,WR,Denzel,Denzel Mims,Mims,4.75,2,5200,BUF@NYJ,NYJ,BUF,,,,,,WR/FLEX
82608-41872,TE,Evan,Evan Engram,Engram,7.125,8,5200,LV@JAC,JAC,LV,,,,,,TE/FLEX
82608-64496,WR,Olamide,Olamide Zaccheaus,Zaccheaus,6.324999809265137,8,5200,LAC@ATL,ATL,LAC,,,,,,WR/FLEX
82608-29683,WR,Nelson,Nelson Agholor,Agholor,4.600000108991351,7,5200,IND@NE,NE,IND,,,,,,WR/FLEX
82608-64585,TE,Dawson,Dawson Knox,Knox,6.049999872843425,6,5100,BUF@NYJ,BUF,NYJ,,,,,,TE/FLEX
82608-55694,WR,Mike,Mike Thomas,Thomas,2.2666667302449546,3,5100,CAR@CIN,CIN,CAR,,,,,,WR/FLEX
82608-69168,WR,N'Keal,N'Keal Harry,Harry,5.650000095367432,2,5100,MIA@CHI,CHI,MIA,,,,,,WR/FLEX
82608-26251,WR,Robbie,Robbie Anderson,Anderson,4.442857197352818,7,5100,SEA@ARI,ARI,SEA,,,,,,WR/FLEX
82608-56059,WR,Trent,Trent Sherfield,Sherfield,2.9000000953674316,8,5100,MIA@CHI,MIA,CHI,,,,,,WR/FLEX
82608-87859,WR,Laviska,Laviska Shenault Jr.,Shenault Jr.,5.599999904632568,4,5100,CAR@CIN,CAR,CIN,,,,,,WR/FLEX
